Transition,Species,Line,Frequency (MHz),delta_f_MHz_100kms,delta_f_kHz_100kms,clean_score,region,clean
H252alpha,H,H252,408.4961414,0.13625964579802738,136.25964579802738,1.0,low frequency,True
H253alpha,H,H253,403.6808877,0.13465345005443732,134.65345005443731,0.999405791763804,low frequency,True
H254alpha,H,H254,398.94087269143324,0.1330723512368791,133.07235123687911,1.0,low frequency,True
H255alpha,H,H255,394.2749213512437,0.13151595739985017,131.51595739985018,1.0,low frequency,True
H256alpha,H,H256,389.6814503495245,0.12998374040134275,129.98374040134274,0.9788257765205878,low frequency,False
H257alpha,H,H257,385.1590577561033,0.1284752326077874,128.4752326077874,1.0,low frequency,True
H258alpha,H,H258,380.7063740550712,0.12698997719784905,126.98997719784904,1.0,low frequency,True
H259alpha,H,H259,376.32206127379663,0.1255275278718975,125.5275278718975,0.0,low frequency,False
H260alpha,H,H260,372.0048121385818,0.12408744857036458,124.08744857036457,0.0,low frequency,False
H261alpha,H,H261,367.7533492559916,0.12266931320066485,122.66931320066485,0.0,low frequency,False
H262alpha,H,H262,363.5664243191262,0.12127270537243676,121.27270537243676,0.0,low frequency,False
H263alpha,H,H263,359.4428173377944,0.11989721814075603,119.89721814075604,1.0,low frequency,True
H264alpha,H,H264,355.3813358920107,0.11854245375712912,118.54245375712911,1.0,low frequency,True
H265alpha,H,H265,351.38081440777177,0.11720802342791818,117.20802342791818,1.0,low frequency,True
H266alpha,H,H266,347.44011345458495,0.11589354708002192,115.89354708002192,1.0,low frequency,True
H267alpha,H,H267,343.5581190638685,0.11459865313351829,114.59865313351828,1.0,low frequency,True
H268alpha,H,H268,339.7337420676546,0.11332297828107957,113.32297828107957,0.9990894598246158,low frequency,True
H269alpha,H,H269,335.96591745672714,0.11206616727387023,112.06616727387022,0.9770186465296318,low frequency,False
H270alpha,H,H270,332.253603757848,0.11082787271381189,110.8278727138119,1.0,low frequency,True
H271alpha,H,H271,328.5957824290871,0.10960775485188726,109.60775485188725,1.0,low frequency,True
H272alpha,H,H272,324.99145727295394,0.10840548139238178,108.40548139238177,1.0,low frequency,True
H273alpha,H,H273,321.43965386660784,0.10722072730282223,107.22072730282223,1.0,low frequency,True
H274alpha,H,H274,317.9394190085727,0.1060531746294207,106.0531746294207,1.0,low frequency,True
H275alpha,H,H275,314.4898201815376,0.10490251231788413,104.90251231788413,1.0,low frequency,True
H276alpha,H,H276,311.08994503055453,0.10376843603935978,103.76843603935978,1.0,low frequency,True
H277alpha,H,H277,307.7389008563025,0.10265064802140636,102.65064802140635,1.0,low frequency,True
H278alpha,H,H278,304.43581412278996,0.10154885688378124,101.54885688378124,1.0,low frequency,True
H279alpha,H,H279,301.17982997916107,0.10046277747893213,100.46277747893214,1.0,low frequency,True
